"(1, 10, 10)",8/9
"(2, 9, 10)",327195/368089
"(1, 11, 11)",8/9
"(2, 10, 11)",11665/13122
"(1, 12, 12)",8/9
"(2, 11, 12)",972/1093
"(1, 28, 28)",0.962962962962962963
"(2, 27, 28)",0.96296301133871666194
"(1, 29, 29)",26/27
"(2, 28, 29)",3070549/3188646
"(1, 30, 30)",26/27
"(2, 29, 30)",7804931246880927673/8105110306037952534
"(1, 31, 31)",26/27
"(2, 30, 31)",20410637783234073942152064117/21195579137608101757147216600
"(1, 32, 32)",26/27
"(2, 31, 32)",52683277994140661551/54709483127359952124
"(1, 33, 33)",26/27
"(2, 32, 33)",62169931/64560240
"(1, 34, 34)",26/27
"(2, 33, 34)",11180787178771821475586983742946168597120525644749336043193882468116367888421417923/11610630703530923996233764322605633554401083427441580830469145396761617887204325771
"(1, 35, 35)",26/27
"(2, 34, 35)",1631880998389/1694577218886
"(1, 36, 36)",26/27
"(2, 35, 36)",297412291456570/308836695750489
"(1, 37, 37)",26/27
"(2, 36, 37)",60302024344876645414093917403838593093141493020017/62618368768939376720930027266522984633306063923121
"(1, 38, 38)",26/27
"(2, 37, 38)",72271271050726904/75047317648410987
"(1, 39, 39)",26/27
"(2, 38, 39)",1951322990285934108/2026277576509488133
"(1, 82, 82)",0.987654320987654321
"(2, 81, 82)",0.9876543210186030938
"(1, 83, 83)",80/81
"(2, 82, 83)",80865463517805158011844436357955913952760294013460867340693/81876281789851272024450493309806635594479751619610161475785
"(1, 84, 84)",80/81
"(2, 83, 84)",4858051934066726093611310031930391686376309874306184489334788214768635785890937950938651463241/4918777571775458691458913371032956052393212086173972147677314106279490572246336722117654036748
"(1, 85, 85)",0.987654320987654321
"(2, 84, 85)",0.98765433653958670956
"(1, 86, 86)",80/81
"(2, 85, 86)",1075058404166326737303826572471766377161989105621636575599326900325451868481863216/1088496628456024124646915405244278145725091469512962916152285747384504134090024085
"(1, 87, 87)",80/81
"(2, 86, 87)",5020969628845/5083731656658
"(1, 88, 88)",0.987654320987654321
"(2, 87, 88)",0.9876543682776788755
"(1, 89, 89)",80/81
"(2, 88, 89)",137347411041318925688970831010039/139064194721846755628642888115516
"(1, 90, 90)",80/81
"(2, 89, 90)",202684742105735952441808081833151/205218214478190858659625114574860
"(1, 91, 91)",0.987654320987654321
"(2, 90, 91)",0.98765474143584949996
"(1, 92, 92)",80/81
"(2, 91, 92)",472690243057605723069301/478598658461235059180166
"(1, 93, 93)",80/81
"(2, 92, 93)",6626753465516038959081662/6709585038812313372696573
"(1, 94, 94)",0.987654320987654321
"(2, 93, 94)",0.9876544626662621668
"(1, 95, 95)",80/81
"(2, 94, 95)",28478609073563053900699155149963959477947967483080158726940901343102529203595976424793919/28834591184361311546427686744709155806415603192372012636894669587653679506209839648890798
"(1, 96, 96)",80/81
