Initial state,P(Loser = Player 1)
"(1, 1, 1)",1/3
"(1, 1, 2)",1/2
"(1, 1, 3)",1/2
"(1, 1, 4)",1/2
"(1, 1, 5)",1/2
"(1, 1, 6)",1/2
"(1, 1, 7)",1/2
"(1, 1, 8)",1/2
"(1, 1, 9)",1/2
"(1, 1, 10)",1/2
"(1, 2, 1)",1/2
"(1, 2, 2)",2/3
"(1, 2, 3)",9/13
"(1, 2, 4)",13/18
"(1, 2, 5)",20/27
"(1, 2, 6)",561/757
"(1, 2, 7)",89/120
"(1, 2, 8)",20/27
"(1, 2, 9)",43983/59293
"(1, 2, 10)",361/486
"(1, 3, 1)",1/2
"(1, 3, 2)",9/13
"(1, 3, 3)",2/3
"(1, 3, 4)",13/18
"(1, 3, 5)",567/757
"(1, 3, 6)",3/4
"(1, 3, 7)",41/54
"(1, 3, 8)",45387/59293
"(1, 3, 9)",62/81
"(1, 3, 10)",209/273
"(1, 4, 1)",1/2
"(1, 4, 2)",13/18
"(1, 4, 3)",13/18
"(1, 4, 4)",7/9
"(1, 4, 5)",5/6
"(1, 4, 6)",5/6
"(1, 4, 7)",5/6
"(1, 4, 8)",5/6
"(1, 4, 9)",5/6
"(1, 4, 10)",5/6
"(1, 5, 1)",1/2
"(1, 5, 2)",20/27
"(1, 5, 3)",567/757
"(1, 5, 4)",5/6
"(1, 5, 5)",8/9
"(1, 5, 6)",52725/59293
"(1, 5, 7)",1297/1458
"(1, 5, 8)",8/9
"(1, 5, 9)",81/91
"(1, 5, 10)",78977/88572
"(1, 6, 1)",1/2
"(1, 6, 2)",561/757
"(1, 6, 3)",3/4
"(1, 6, 4)",5/6
"(1, 6, 5)",52725/59293
"(1, 6, 6)",8/9
"(1, 6, 7)",81/91
"(1, 6, 8)",38401365/43053283
"(1, 6, 9)",108/121
"(1, 6, 10)",108/121
"(1, 7, 1)",1/2
"(1, 7, 2)",89/120
"(1, 7, 3)",41/54
"(1, 7, 4)",5/6
"(1, 7, 5)",1297/1458
"(1, 7, 6)",81/91
"(1, 7, 7)",8/9
"(1, 7, 8)",79001/88572
"(1, 7, 9)",977/1089
"(1, 7, 10)",35/39
"(1, 8, 1)",1/2
"(1, 8, 2)",20/27
"(1, 8, 3)",45387/59293
"(1, 8, 4)",5/6
"(1, 8, 5)",8/9
"(1, 8, 6)",38401365/43053283
"(1, 8, 7)",79001/88572
"(1, 8, 8)",8/9
"(1, 8, 9)",108/121
"(1, 8, 10)",8831/9840
"(1, 9, 1)",1/2
"(1, 9, 2)",43983/59293
"(1, 9, 3)",62/81
"(1, 9, 4)",5/6
"(1, 9, 5)",81/91
"(1, 9, 6)",108/121
"(1, 9, 7)",977/1089
"(1, 9, 8)",108/121
"(1, 9, 9)",8/9
"(1, 9, 10)",145/162
"(1, 10, 1)",1/2
"(1, 10, 2)",361/486
"(1, 10, 3)",209/273
"(1, 10, 4)",5/6
"(1, 10, 5)",78977/88572
"(1, 10, 6)",108/121
"(1, 10, 7)",35/39
"(1, 10, 8)",8831/9840
"(1, 10, 9)",145/162
"(1, 10, 10)",8/9
"(2, 1, 1)",0
"(2, 1, 2)",1/6
"(2, 1, 3)",3/13
"(2, 1, 4)",2/9
"(2, 1, 5)",13/54
"(2, 1, 6)",189/757
"(2, 1, 7)",1/4
"(2, 1, 8)",41/162
"(2, 1, 9)",15129/59293
"(2, 1, 10)",62/243
"(2, 2, 1)",1/6
"(2, 2, 2)",1/3
"(2, 2, 3)",1/2
"(2, 2, 4)",1/2
"(2, 2, 5)",1/2
"(2, 2, 6)",1/2
"(2, 2, 7)",1/2
"(2, 2, 8)",1/2
"(2, 2, 9)",1/2
"(2, 2, 10)",1/2
"(2, 3, 1)",3/13
"(2, 3, 2)",1/2
"(2, 3, 3)",2/3
"(2, 3, 4)",507/757
"(2, 3, 5)",27/40
"(2, 3, 6)",2/3
"(2, 3, 7)",40089/59293
"(2, 3, 8)",37/54
"(2, 3, 9)",9/13
"(2, 3, 10)",29883405/43053283
"(2, 4, 1)",2/9
"(2, 4, 2)",1/2
"(2, 4, 3)",507/757
"(2, 4, 4)",2/3
"(2, 4, 5)",37/54
"(2, 4, 6)",9/13
"(2, 4, 7)",1520/2187
"(2, 4, 8)",13/18
"(2, 4, 9)",31892841/43053283
"(2, 4, 10)",20/27
"(2, 5, 1)",13/54
"(2, 5, 2)",1/2
"(2, 5, 3)",27/40
"(2, 5, 4)",37/54
"(2, 5, 5)",2/3
"(2, 5, 6)",1009/1458
"(2, 5, 7)",191/273
"(2, 5, 8)",13/18
"(2, 5, 9)",21897/29524
"(2, 5, 10)",808/1089
"(2, 6, 1)",189/757
"(2, 6, 2)",1/2
"(2, 6, 3)",2/3
"(2, 6, 4)",9/13
"(2, 6, 5)",1009/1458
"(2, 6, 6)",2/3
"(2, 6, 7)",29923263/43053283
"(2, 6, 8)",13/18
"(2, 6, 9)",90/121
"(2, 6, 10)",567/757
"(2, 7, 1)",1/4
"(2, 7, 2)",1/2
"(2, 7, 3)",40089/59293
"(2, 7, 4)",1520/2187
"(2, 7, 5)",191/273
"(2, 7, 6)",29923263/43053283
"(2, 7, 7)",2/3
"(2, 7, 8)",13/18
"(2, 7, 9)",819/1093
"(2, 7, 10)",548/729
"(2, 8, 1)",41/162
"(2, 8, 2)",1/2
"(2, 8, 3)",37/54
"(2, 8, 4)",13/18
"(2, 8, 5)",13/18
"(2, 8, 6)",13/18
"(2, 8, 7)",13/18
"(2, 8, 8)",7/9
"(2, 8, 9)",5/6
"(2, 8, 10)",5/6
"(2, 9, 1)",15129/59293
"(2, 9, 2)",1/2
"(2, 9, 3)",9/13
"(2, 9, 4)",31892841/43053283
"(2, 9, 5)",21897/29524
"(2, 9, 6)",90/121
"(2, 9, 7)",819/1093
"(2, 9, 8)",5/6
"(2, 9, 9)",8/9
"(2, 9, 10)",327195/368089
"(2, 10, 1)",62/243
"(2, 10, 2)",1/2
"(2, 10, 3)",29883405/43053283
"(2, 10, 4)",20/27
"(2, 10, 5)",808/1089
"(2, 10, 6)",567/757
"(2, 10, 7)",548/729
"(2, 10, 8)",5/6
"(2, 10, 9)",327195/368089
"(2, 10, 10)",8/9
"(3, 1, 1)",0
"(3, 1, 2)",1/13
"(3, 1, 3)",1/6
"(3, 1, 4)",2/9
"(3, 1, 5)",169/757
"(3, 1, 6)",9/40
"(3, 1, 7)",2/9
"(3, 1, 8)",13363/59293
"(3, 1, 9)",37/162
"(3, 1, 10)",3/13
"(3, 2, 1)",1/13
"(3, 2, 2)",0
"(3, 2, 3)",1/6
"(3, 2, 4)",187/757
"(3, 2, 5)",1/4
"(3, 2, 6)",5/18
"(3, 2, 7)",17575/59293
"(3, 2, 8)",8/27
"(3, 2, 9)",27/91
"(3, 2, 10)",12800455/43053283
"(3, 3, 1)",1/6
"(3, 3, 2)",1/6
"(3, 3, 3)",1/3
"(3, 3, 4)",1/2
"(3, 3, 5)",1/2
"(3, 3, 6)",1/2
"(3, 3, 7)",1/2
"(3, 3, 8)",1/2
"(3, 3, 9)",1/2
"(3, 3, 10)",1/2
"(3, 4, 1)",2/9
"(3, 4, 2)",187/757
"(3, 4, 3)",1/2
"(3, 4, 4)",2/3
"(3, 4, 5)",39589/59293
"(3, 4, 6)",325/486
"(3, 4, 7)",2/3
"(3, 4, 8)",61/91
"(3, 4, 9)",19929/29524
"(3, 4, 10)",736/1089
"(3, 5, 1)",169/757
"(3, 5, 2)",1/4
"(3, 5, 3)",1/2
"(3, 5, 4)",39589/59293
"(3, 5, 5)",2/3
"(3, 5, 6)",61/91
"(3, 5, 7)",29097529/43053283
"(3, 5, 8)",82/121
"(3, 5, 9)",82/121
"(3, 5, 10)",739/1093
"(3, 6, 1)",9/40
"(3, 6, 2)",5/18
"(3, 6, 3)",1/2
"(3, 6, 4)",325/486
"(3, 6, 5)",61/91
"(3, 6, 6)",2/3
"(3, 6, 7)",19953/29524
"(3, 6, 8)",251/363
"(3, 6, 9)",9/13
"(3, 6, 10)",2277/3280
"(3, 7, 1)",2/9
"(3, 7, 2)",17575/59293
"(3, 7, 3)",1/2
"(3, 7, 4)",2/3
"(3, 7, 5)",29097529/43053283
"(3, 7, 6)",19953/29524
"(3, 7, 7)",2/3
"(3, 7, 8)",82/121
"(3, 7, 9)",2271/3280
"(3, 7, 10)",170/243
"(3, 8, 1)",13363/59293
"(3, 8, 2)",8/27
"(3, 8, 3)",1/2
"(3, 8, 4)",61/91
"(3, 8, 5)",82/121
"(3, 8, 6)",251/363
"(3, 8, 7)",82/121
"(3, 8, 8)",2/3
"(3, 8, 9)",37/54
"(3, 8, 10)",2421653677/3486843451
"(3, 9, 1)",37/162
"(3, 9, 2)",27/91
"(3, 9, 3)",1/2
"(3, 9, 4)",19929/29524
"(3, 9, 5)",82/121
"(3, 9, 6)",9/13
"(3, 9, 7)",2271/3280
"(3, 9, 8)",37/54
"(3, 9, 9)",2/3
"(3, 9, 10)",110419/159432
"(3, 10, 1)",3/13
"(3, 10, 2)",12800455/43053283
"(3, 10, 3)",1/2
"(3, 10, 4)",736/1089
"(3, 10, 5)",739/1093
"(3, 10, 6)",2277/3280
"(3, 10, 7)",170/243
"(3, 10, 8)",2421653677/3486843451
"(3, 10, 9)",110419/159432
"(3, 10, 10)",2/3
"(4, 1, 1)",0
"(4, 1, 2)",1/18
