Initial state,P(Loser = Player 1)
"(1, 1, 1)",0.3333333333333333
"(1, 1, 2)",0.5
"(1, 1, 3)",0.5
"(1, 1, 4)",0.5
"(1, 1, 5)",0.5
"(1, 1, 6)",0.5
"(1, 1, 7)",0.5
"(1, 1, 8)",0.5
"(1, 1, 9)",0.5
"(1, 1, 10)",0.5
"(1, 2, 1)",0.5
"(1, 2, 2)",0.6666666666666666
"(1, 2, 3)",0.6923076923076923
"(1, 2, 4)",0.7222222222222222
"(1, 2, 5)",0.7407407407407407
"(1, 2, 6)",0.7410832232496698
"(1, 2, 7)",0.7416666666666667
"(1, 2, 8)",0.7407407407407407
"(1, 2, 9)",0.7417907678815374
"(1, 2, 10)",0.742798353909465
"(1, 3, 1)",0.5
"(1, 3, 2)",0.6923076923076923
"(1, 3, 3)",0.6666666666666666
"(1, 3, 4)",0.7222222222222222
"(1, 3, 5)",0.7490092470277411
"(1, 3, 6)",0.75
"(1, 3, 7)",0.7592592592592593
"(1, 3, 8)",0.7654697856408008
"(1, 3, 9)",0.7654320987654321
"(1, 3, 10)",0.7655677655677655
"(1, 4, 1)",0.5
"(1, 4, 2)",0.7222222222222222
"(1, 4, 3)",0.7222222222222222
"(1, 4, 4)",0.7777777777777778
"(1, 4, 5)",0.8333333333333334
"(1, 4, 6)",0.8333333333333334
"(1, 4, 7)",0.8333333333333334
"(1, 4, 8)",0.8333333333333334
"(1, 4, 9)",0.8333333333333334
"(1, 4, 10)",0.8333333333333334
"(1, 5, 1)",0.5
"(1, 5, 2)",0.7407407407407407
"(1, 5, 3)",0.7490092470277411
"(1, 5, 4)",0.8333333333333334
"(1, 5, 5)",0.8888888888888888
"(1, 5, 6)",0.8892280707672069
"(1, 5, 7)",0.8895747599451304
"(1, 5, 8)",0.8888888888888888
"(1, 5, 9)",0.8901098901098901
"(1, 5, 10)",0.8916700537415888
"(1, 6, 1)",0.5
"(1, 6, 2)",0.7410832232496698
"(1, 6, 3)",0.75
"(1, 6, 4)",0.8333333333333334
"(1, 6, 5)",0.8892280707672069
"(1, 6, 6)",0.8888888888888888
"(1, 6, 7)",0.8901098901098901
"(1, 6, 8)",0.8919497498018908
"(1, 6, 9)",0.8925619834710744
"(1, 6, 10)",0.8925619834710744
"(1, 7, 1)",0.5
"(1, 7, 2)",0.7416666666666667
"(1, 7, 3)",0.7592592592592593
"(1, 7, 4)",0.8333333333333334
"(1, 7, 5)",0.8895747599451304
"(1, 7, 6)",0.8901098901098901
"(1, 7, 7)",0.8888888888888888
"(1, 7, 8)",0.8919410197353566
"(1, 7, 9)",0.8971533516988063
"(1, 7, 10)",0.8974358974358975
"(1, 8, 1)",0.5
"(1, 8, 2)",0.7407407407407407
"(1, 8, 3)",0.7654697856408008
"(1, 8, 4)",0.8333333333333334
"(1, 8, 5)",0.8888888888888888
"(1, 8, 6)",0.8919497498018908
"(1, 8, 7)",0.8919410197353566
"(1, 8, 8)",0.8888888888888888
"(1, 8, 9)",0.8925619834710744
"(1, 8, 10)",0.8974593495934959
"(1, 9, 1)",0.5
"(1, 9, 2)",0.7417907678815374
"(1, 9, 3)",0.7654320987654321
"(1, 9, 4)",0.8333333333333334
"(1, 9, 5)",0.8901098901098901
"(1, 9, 6)",0.8925619834710744
"(1, 9, 7)",0.8971533516988063
"(1, 9, 8)",0.8925619834710744
"(1, 9, 9)",0.8888888888888888
"(1, 9, 10)",0.8950617283950617
"(1, 10, 1)",0.5
"(1, 10, 2)",0.742798353909465
"(1, 10, 3)",0.7655677655677655
"(1, 10, 4)",0.8333333333333334
"(1, 10, 5)",0.8916700537415888
"(1, 10, 6)",0.8925619834710744
"(1, 10, 7)",0.8974358974358975
"(1, 10, 8)",0.8974593495934959
"(1, 10, 9)",0.8950617283950617
"(1, 10, 10)",0.8888888888888888
"(2, 1, 1)",0.0
"(2, 1, 2)",0.16666666666666666
"(2, 1, 3)",0.23076923076923078
"(2, 1, 4)",0.2222222222222222
"(2, 1, 5)",0.24074074074074073
"(2, 1, 6)",0.24966974900924702
"(2, 1, 7)",0.25
"(2, 1, 8)",0.25308641975308643
"(2, 1, 9)",0.25515659521360023
"(2, 1, 10)",0.2551440329218107
"(2, 2, 1)",0.16666666666666666
"(2, 2, 2)",0.3333333333333333
"(2, 2, 3)",0.5
"(2, 2, 4)",0.5
"(2, 2, 5)",0.5
"(2, 2, 6)",0.5
"(2, 2, 7)",0.5
"(2, 2, 8)",0.5
"(2, 2, 9)",0.5
"(2, 2, 10)",0.5
"(2, 3, 1)",0.23076923076923078
"(2, 3, 2)",0.5
"(2, 3, 3)",0.6666666666666666
"(2, 3, 4)",0.6697490092470277
"(2, 3, 5)",0.675
"(2, 3, 6)",0.6666666666666666
"(2, 3, 7)",0.6761169109338371
"(2, 3, 8)",0.6851851851851852
"(2, 3, 9)",0.6923076923076923
"(2, 3, 10)",0.6941028167352534
"(2, 4, 1)",0.2222222222222222
"(2, 4, 2)",0.5
"(2, 4, 3)",0.6697490092470277
"(2, 4, 4)",0.6666666666666666
"(2, 4, 5)",0.6851851851851852
"(2, 4, 6)",0.6923076923076923
"(2, 4, 7)",0.695016003657979
"(2, 4, 8)",0.7222222222222222
"(2, 4, 9)",0.7407760518518414
"(2, 4, 10)",0.7407407407407407
"(2, 5, 1)",0.24074074074074073
"(2, 5, 2)",0.5
"(2, 5, 3)",0.675
"(2, 5, 4)",0.6851851851851852
"(2, 5, 5)",0.6666666666666666
"(2, 5, 6)",0.6920438957475995
"(2, 5, 7)",0.6996336996336996
"(2, 5, 8)",0.7222222222222222
"(2, 5, 9)",0.7416677956916407
"(2, 5, 10)",0.7419651056014692
"(2, 6, 1)",0.24966974900924702
"(2, 6, 2)",0.5
"(2, 6, 3)",0.6666666666666666
"(2, 6, 4)",0.6923076923076923
"(2, 6, 5)",0.6920438957475995
"(2, 6, 6)",0.6666666666666666
"(2, 6, 7)",0.6950285997934235
"(2, 6, 8)",0.7222222222222222
"(2, 6, 9)",0.743801652892562
"(2, 6, 10)",0.7490092470277411
"(2, 7, 1)",0.25
"(2, 7, 2)",0.5
"(2, 7, 3)",0.6761169109338371
"(2, 7, 4)",0.695016003657979
"(2, 7, 5)",0.6996336996336996
"(2, 7, 6)",0.6950285997934235
"(2, 7, 7)",0.6666666666666666
"(2, 7, 8)",0.7222222222222222
"(2, 7, 9)",0.7493138151875571
"(2, 7, 10)",0.7517146776406035
"(2, 8, 1)",0.25308641975308643
"(2, 8, 2)",0.5
"(2, 8, 3)",0.6851851851851852
"(2, 8, 4)",0.7222222222222222
"(2, 8, 5)",0.7222222222222222
"(2, 8, 6)",0.7222222222222222
"(2, 8, 7)",0.7222222222222222
"(2, 8, 8)",0.7777777777777778
"(2, 8, 9)",0.8333333333333334
"(2, 8, 10)",0.8333333333333334
"(2, 9, 1)",0.25515659521360023
"(2, 9, 2)",0.5
"(2, 9, 3)",0.6923076923076923
"(2, 9, 4)",0.7407760518518414
"(2, 9, 5)",0.7416677956916407
"(2, 9, 6)",0.743801652892562
"(2, 9, 7)",0.7493138151875571
"(2, 9, 8)",0.8333333333333334
"(2, 9, 9)",0.8888888888888888
"(2, 9, 10)",0.888901868841503
"(2, 10, 1)",0.2551440329218107
"(2, 10, 2)",0.5
"(2, 10, 3)",0.6941028167352534
"(2, 10, 4)",0.7407407407407407
"(2, 10, 5)",0.7419651056014692
"(2, 10, 6)",0.7490092470277411
"(2, 10, 7)",0.7517146776406035
"(2, 10, 8)",0.8333333333333334
"(2, 10, 9)",0.888901868841503
"(2, 10, 10)",0.8888888888888888
"(3, 1, 1)",0.0
"(3, 1, 2)",0.07692307692307693
"(3, 1, 3)",0.16666666666666666
"(3, 1, 4)",0.2222222222222222
"(3, 1, 5)",0.22324966974900926
"(3, 1, 6)",0.225
"(3, 1, 7)",0.2222222222222222
"(3, 1, 8)",0.22537230364461236
"(3, 1, 9)",0.22839506172839505
"(3, 1, 10)",0.23076923076923078
"(3, 2, 1)",0.07692307692307693
"(3, 2, 2)",0.0
"(3, 2, 3)",0.16666666666666666
"(3, 2, 4)",0.24702774108322326
"(3, 2, 5)",0.25
"(3, 2, 6)",0.2777777777777778
"(3, 2, 7)",0.29640935692240233
"(3, 2, 8)",0.2962962962962963
"(3, 2, 9)",0.2967032967032967
"(3, 2, 10)",0.29731658326729693
"(3, 3, 1)",0.16666666666666666
"(3, 3, 2)",0.16666666666666666
"(3, 3, 3)",0.3333333333333333
"(3, 3, 4)",0.5
"(3, 3, 5)",0.5
"(3, 3, 6)",0.5
"(3, 3, 7)",0.5
"(3, 3, 8)",0.5
"(3, 3, 9)",0.5
"(3, 3, 10)",0.5
"(3, 4, 1)",0.2222222222222222
"(3, 4, 2)",0.24702774108322326
"(3, 4, 3)",0.5
"(3, 4, 4)",0.6666666666666666
"(3, 4, 5)",0.6676842123016208
"(3, 4, 6)",0.668724279835391
"(3, 4, 7)",0.6666666666666666
"(3, 4, 8)",0.6703296703296703
"(3, 4, 9)",0.6750101612247663
"(3, 4, 10)",0.6758494031221304
"(3, 5, 1)",0.22324966974900926
"(3, 5, 2)",0.25
"(3, 5, 3)",0.5
"(3, 5, 4)",0.6676842123016208
"(3, 5, 5)",0.6666666666666666
"(3, 5, 6)",0.6703296703296703
"(3, 5, 7)",0.6758492494056725
